DEBUG   2019-11-17 19:21:44,000 [http-nio-8080-exec-1] com.netreaders.dao.book.BookDaoImpl  - Dont find any book by id '1'
DEBUG   2019-11-17 19:21:46,810 [http-nio-8080-exec-8] com.netreaders.dao.book.BookDaoImpl  - Dont find any book by id '1'
DEBUG   2019-11-17 19:21:50,448 [http-nio-8080-exec-3] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '4'
DEBUG   2019-11-17 19:21:50,486 [http-nio-8080-exec-3] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '4'
DEBUG   2019-11-17 19:21:50,500 [http-nio-8080-exec-3] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '4'
DEBUG   2019-11-17 19:26:04,328 [http-nio-8080-exec-6] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '3'
DEBUG   2019-11-17 19:26:04,330 [http-nio-8080-exec-6] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '3'
DEBUG   2019-11-17 19:26:04,331 [http-nio-8080-exec-6] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '3'
DEBUG   2019-11-17 19:26:20,147 [http-nio-8080-exec-4] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '3'
DEBUG   2019-11-17 19:26:20,148 [http-nio-8080-exec-4] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '3'
DEBUG   2019-11-17 19:26:20,149 [http-nio-8080-exec-4] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '3'
DEBUG   2019-11-17 19:26:21,671 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '3'
DEBUG   2019-11-17 19:26:21,673 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '3'
DEBUG   2019-11-17 19:26:21,674 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '3'
DEBUG   2019-11-17 19:26:22,077 [http-nio-8080-exec-4] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '3'
DEBUG   2019-11-17 19:26:22,078 [http-nio-8080-exec-4] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '3'
DEBUG   2019-11-17 19:26:22,079 [http-nio-8080-exec-4] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '3'
DEBUG   2019-11-17 19:30:08,834 [http-nio-8080-exec-4] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '1'
DEBUG   2019-11-17 19:30:08,841 [http-nio-8080-exec-4] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '1'
DEBUG   2019-11-17 19:30:08,847 [http-nio-8080-exec-4] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '1'
DEBUG   2019-11-17 19:30:13,017 [http-nio-8080-exec-8] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '2'
DEBUG   2019-11-17 19:30:13,018 [http-nio-8080-exec-8] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '2'
DEBUG   2019-11-17 19:30:13,019 [http-nio-8080-exec-8] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '2'
DEBUG   2019-11-17 19:30:14,923 [http-nio-8080-exec-1] com.netreaders.dao.book.BookDaoImpl  - Find a book by id '6'
DEBUG   2019-11-17 19:30:14,924 [http-nio-8080-exec-1] com.netreaders.dao.genres.GenreDaoImpl  - Find 1 genre(s) by bookID '6'
DEBUG   2019-11-17 19:30:14,925 [http-nio-8080-exec-1] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '6'
